"Usina nuclear","Capacidade (MW)","País","Coordenadas geográficas
"
"Arkansas Nuclear One","1.776","&nbsp;Estados Unidos","35° 18′ 37″ N, 93° 13′ 53″ O
"
"Central Nuclear Almirante Álvaro Alberto (Angra)","1.855","&nbsp;Brasil","23° 00′ 30″ S, 44° 28′ 26″ O
"
"Central Nuclear Columbia","1.250","&nbsp;Estados Unidos","46° 28′ 16″ N, 119° 20′ 02″ O
"
"Central nuclear de Almaraz","1.900"," Espanha","39° 48′ 29″ N, 5° 41′ 49″ O
"
"Central Nuclear de Beaver Valley","1.890","&nbsp;Estados Unidos","40° 37′ 24″ N, 80° 25′ 50″ O
"
"Central Nuclear de Braidwood","2.362","&nbsp;Estados Unidos","41° 14′ 37″ N, 88° 13′ 45″ O
"
"Central Nuclear de Bruce","7.276","&nbsp;Canadá","44° 19′ 31″ N, 81° 35′ 58″ O
"
"Central Nuclear de Comanche Peak","2.208","&nbsp;Estados Unidos","32° 17′ 54″ N, 97° 47′ 06″ O
"
"Central Nuclear de Darlington","3.740","&nbsp;Canadá","43° 52′ 22″ N, 78° 43′ 11″ O
"
"Central nuclear de Forsmark","3.087","&nbsp;Suécia","60° 24′ 12″ N, 18° 10′ 00″ L
"
"Central Nuclear de Hope Creek","1.120","&nbsp;Estados Unidos","39° 28′ 04″ N, 75° 32′ 17″ O
"
"Central Nuclear de Ignalina","1.300","&nbsp;Lituânia","55° 36′ 16″ N, 26° 33′ 36″ L
"
"Central Nuclear de Indian Point","2.050","&nbsp;Estados Unidos","41° 16′ 11″ N, 73° 57′ 08″ O
"
"Central Nuclear de North Anna","1.790","&nbsp;Estados Unidos","38° 03′ 38″ N, 77° 47′ 22″ O
"
"Central Nuclear de Oconee","2.500","&nbsp;Estados Unidos","34° 47′ 38″ N, 82° 53′ 53″ O
"
"Central nuclear de Oskarshamn","2.308","&nbsp;Suécia","57° 24′ 56″ N, 16° 40′ 16″ L
"
"Central Nuclear de Palo Verde","1.447","&nbsp;Estados Unidos","33° 23′ 21″ N, 112° 51′ 54″ O
"
"Central Nuclear de Perry","1.260","&nbsp;Estados Unidos","41° 48′ 03″ N, 81° 08′ 36″ O
"
"Central Nuclear de Pickering","4.336","&nbsp;Canadá","43° 48′ 42″ N, 79° 03′ 57″ O
"
"Central Nuclear de Quad Cities","1.700","&nbsp;Estados Unidos","41° 43′ 35″ N, 90° 18′ 36″ O
"
"Central Nuclear de San Onofre","2.350","&nbsp;Estados Unidos","33° 22′ 08″ N, 117° 33′ 18″ O
"
"Central Nuclear de South Texas","2.500","&nbsp;Estados Unidos","28° 47′ 44″ N, 96° 02′ 56″ O
"
"Central Nuclear de Susquehanna","2.216","&nbsp;Estados Unidos","41° 05′ 20″ N, 76° 08′ 56″ O
"
